1748564234.144675,2.1933,1.9883,2.1275,1.8156,1.7724,1.8465,2.1417,1.9276,1.9969,2.5669,2.5049,2.536,1.9271,1.7267,0.8918
1748564234.21606,2.196,1.9846,2.1272,1.8178,1.771,1.8486,2.1498,1.9276,1.9975,2.5919,2.5245,2.56,1.9402,1.7366,0.8934
1748564234.443577,2.1938,1.9832,2.1288,1.8135,1.7713,1.8513,2.1514,1.926,1.9983,2.5454,2.4697,2.5,1.9437,1.745,0.8907
1748564234.5340421,2.1866,1.9787,2.1229,1.8113,1.7664,1.8422,2.1541,1.9263,1.9921,2.5269,2.4447,2.4675,1.9308,1.7366,0.891
1748564234.590485,2.1906,1.9781,2.1275,1.8145,1.7664,1.8503,2.1441,1.9193,1.9883,2.5414,2.4568,2.4888,1.9459,1.756,0.8902
1748564234.672144,2.1962,1.9784,2.1334,1.818,1.7799,1.8696,2.1533,1.9276,1.9996,2.6252,2.5589,2.6019,1.9615,1.7643,0.891
1748564234.785991,2.1968,1.9768,2.1267,1.8285,1.7938,1.8822,2.1796,1.9467,2.013,2.625,2.5591,2.6086,1.9642,1.7517,0.8905
1748564234.900414,2.1995,1.9851,2.1178,1.8575,1.8151,1.8717,2.1549,1.9322,1.9983,1.9325,1.7068,0.8862,1.9365,1.713,0.8916
1748564235.014039,2.2011,1.9832,2.1267,1.8495,1.8041,1.8758,2.1447,1.915,1.9907,2.6314,2.5715,2.6158,1.9574,1.7296,0.8913
1748564235.1284292,2.2422,2.0095,2.2003,1.8989,1.8255,1.9687,2.2054,1.9531,2.0622,2.5664,2.4764,2.5395,2.3891,2.3784,2.5137
1748564235.242018,2.2406,2.0036,2.203,1.8873,1.8102,1.9556,2.196,1.9327,2.0463,2.5782,2.503,2.5771,2.5914,2.608,2.6937
1748564235.355982,2.2215,1.987,2.1664,1.8669,1.8011,1.9107,2.1871,1.9204,2.0036,2.0517,1.8,0.9157,2.4372,2.4729,2.5489
1748564235.4701152,2.2097,1.983,2.1713,1.8489,1.7925,1.9252,2.1659,1.9107,2.0063,2.4874,2.3856,2.4538,2.3131,2.3002,2.4211
1748564235.5845928,2.2064,1.9846,2.1715,1.8457,1.792,1.9222,2.1562,1.9053,2.0007,2.4909,2.3977,2.4638,2.3195,2.3209,2.4431
